,mean,std
3176,9,1.129456667
3177,2,0.090961902
3178,10.78571429,1.066164433
3179,1.4,0.053331457
3180,4,0.711328427
3181,2.88,0.352740845
3182,2.083333333,0.219046976
3183,3.333333333,0.140167842
3184,3.153846154,0.2367727
3185,2.176470588,0.194837336
3186,2.958333333,0.312685898
3187,3.666666667,0.234194777
3188,4,0.290315607
3189,4.25,0.175458563
3190,1.6,0.064323945
3191,2.366666667,0.276668476
3192,3.076923077,0.235138557
3193,1,0.032161973
3194,1.857142857,0.092364812
3195,1.5,0.050855179
3196,1.25,0.042548653
3197,1,0.032161973
3198,2.727272727,0.210866474
3199,2.933333333,0.231763733
3200,3.777777778,0.517692854
3201,2.714285714,0.135481757
3202,1,0.027856694
3203,2.333333333,0.316455392
3204,1.2,0.045480951
3205,3.1,0.309904212
3206,1.875,0.095106457
3207,2.333333333,0.073708249
3208,2.25,0.16868185
3209,2,0.106679246
3210,2.5,0.115992842
3211,1.666666667,0.095106457
3212,7.789473684,0.934058003
3213,5.666666667,0.646847968
3214,1,0.027856694
3215,3.111111111,0.216935716
3216,7.285714286,0.694329439
3217,2.176470588,0.18390141
3218,2.3125,0.278945561
3219,1.8,0.086612302
3220,4.333333333,0.455815321
3221,2.142857143,0.110234442
3222,1,0.035953519
3223,1.4,0.057982554
3224,1.777777778,0.111393092
3225,1.666666667,0.053346533
3226,1,0.027856694
3227,1.166666667,0.048233929
3228,3.333333333,0.41006803
3229,2.111111111,0.135481757
3230,2.285714286,0.130644602
3231,3.461538462,0.363517417
3232,2.928571429,0.240030224
3233,2.6,0.163941396
3234,2.565217391,0.279648316
3235,1.5,0.123386597
3236,2.888888889,0.196938125
3237,1,0.035953519
3238,2.714285714,0.248018916
3239,1.777777778,0.104188406
3240,1.714285714,0.075401631
3241,13,0.38742364
3242,1.533333333,0.129579519
3243,4.666666667,0.541690303
3244,5.833333333,0.453559823
3245,2.421052632,0.230617938
3246,1.333333333,0.071886533
3247,1,0.045460319
3248,1,0.042529749
3249,1.75,0.101693227
3250,1.363636364,0.086556578
3251,1,0.039380002
3252,2.333333333,0.08358291
3253,1.230769231,0.078712343
3254,1,0.016087236
3255,2,0.101724852
3256,5.428571429,0.471179802
3257,4.25,0.175458563
3258,1,0.039380002
3259,1,0.032161973
3260,1.833333333,0.092382223
3261,1.363636364,0.083512328
3262,2.166666667,0.107877952
3263,2.684210526,0.313773345
3264,3.214285714,0.454477874
3265,2.285714286,0.115947771
3266,1,0.039380002
3267,1.285714286,0.05796406
3268,1,0.035953519
3269,5,0.410698821
3270,3.5,0.203386453
3271,6.833333333,0.407210714
3272,4.333333333,0.260341383
3273,3.5,0.228557276
3274,3.6,0.149133425
3275,2,0.068243524
3276,2.714285714,0.161620827
3277,1.6,0.064323945
3278,2.25,0.161544518
3279,2,0.096485918
3280,3.75,0.255291918
3281,1.666666667,0.113650797
3282,4.75,0.258886357
3283,2.666666667,0.154198212
3284,1.571428571,0.108974355
3285,20,1.144651977
3286,3,0.184793458
3287,2.8,0.296473081
